epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2152.9,0.69166,0.48769,1.17837,0.92547,0.90359,0.93703,0.80554,0.63947,0.44085,1.20723,0.000636762,0.000636762,0.000636762
58,2189.56,0.68444,0.47873,1.17463,0.9156,0.90453,0.93117,0.80399,0.61629,0.44557,1.17724,0.000622615,0.000622615,0.000622615
59,2225.95,0.66495,0.47499,1.16464,0.91525,0.89842,0.93657,0.80871,0.62514,0.45577,1.17792,0.000608468,0.000608468,0.000608468
60,2262.8,0.6647,0.46829,1.1624,0.90339,0.90586,0.93439,0.8073,0.61613,0.42783,1.18617,0.000594321,0.000594321,0.000594321
61,2299.18,0.68003,0.48064,1.17415,0.90803,0.92684,0.94208,0.81167,0.63073,0.43246,1.18232,0.000580174,0.000580174,0.000580174
62,2336.28,0.67858,0.48181,1.17103,0.93072,0.90025,0.94153,0.8114,0.63725,0.43343,1.19092,0.000566027,0.000566027,0.000566027
63,2373.48,0.67179,0.4795,1.16857,0.90237,0.90771,0.92963,0.7994,0.6301,0.44387,1.18009,0.00055188,0.00055188,0.00055188
64,2410.66,0.66001,0.46628,1.16481,0.90743,0.90444,0.93547,0.80627,0.62266,0.44806,1.17402,0.000537733,0.000537733,0.000537733
65,2447.7,0.65733,0.46524,1.16096,0.91675,0.89123,0.93765,0.81,0.59705,0.44281,1.15617,0.000523586,0.000523586,0.000523586
66,2484.75,0.66012,0.46672,1.16402,0.9188,0.89392,0.93189,0.81319,0.5911,0.43939,1.14759,0.000509438,0.000509438,0.000509438
67,2520.93,0.6629,0.46875,1.15896,0.90615,0.91955,0.93774,0.81368,0.58524,0.4373,1.15816,0.000495291,0.000495291,0.000495291
68,2557.07,0.66225,0.46145,1.16357,0.91856,0.8885,0.93313,0.81014,0.60238,0.43115,1.162,0.000481144,0.000481144,0.000481144
69,2594.29,0.65998,0.46703,1.15333,0.92236,0.89653,0.93418,0.80501,0.59439,0.44786,1.15491,0.000466997,0.000466997,0.000466997
70,2631.7,0.6493,0.45588,1.1511,0.90934,0.89091,0.92673,0.80037,0.59111,0.45064,1.16743,0.00045285,0.00045285,0.00045285
71,2668.12,0.6482,0.46222,1.16023,0.92249,0.89807,0.93928,0.81822,0.57858,0.42156,1.15177,0.000438703,0.000438703,0.000438703
72,2704.72,0.63936,0.44775,1.14338,0.93676,0.89856,0.94029,0.81298,0.60777,0.43501,1.18131,0.000424556,0.000424556,0.000424556
73,2741.14,0.63255,0.44243,1.14264,0.92366,0.91293,0.93353,0.81669,0.60722,0.4364,1.17924,0.000410409,0.000410409,0.000410409
