epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,2772.8,0.62852,0.43358,1.05231,0.90991,0.90764,0.93482,0.81403,0.55749,0.40111,0.98299,0.000297232,0.000297232,0.000297232
82,2806.64,0.61947,0.43035,1.05269,0.92281,0.89291,0.93709,0.81941,0.58107,0.4101,0.99165,0.000283085,0.000283085,0.000283085
83,2839.95,0.61809,0.42291,1.04919,0.92425,0.90893,0.94279,0.82278,0.59027,0.39607,0.98524,0.000268938,0.000268938,0.000268938
84,2872.98,0.63401,0.43735,1.0496,0.94155,0.88767,0.93975,0.8194,0.59828,0.39541,0.99707,0.000254791,0.000254791,0.000254791
85,2905.68,0.62795,0.42169,1.05188,0.92669,0.89256,0.9364,0.81964,0.61239,0.40305,1.00599,0.000240644,0.000240644,0.000240644
86,2938.61,0.61243,0.42987,1.0431,0.95176,0.88651,0.9361,0.82129,0.63047,0.40342,1.01154,0.000226497,0.000226497,0.000226497
87,2971.45,0.61918,0.42857,1.04646,0.93476,0.89667,0.9413,0.82311,0.60556,0.39743,0.99485,0.000212349,0.000212349,0.000212349
88,3004.18,0.63218,0.42481,1.0555,0.94944,0.88889,0.93504,0.82129,0.62562,0.40406,1.01074,0.000198202,0.000198202,0.000198202
89,3036.84,0.61539,0.42308,1.04975,0.95026,0.88452,0.94082,0.82,0.63689,0.40873,1.01416,0.000184055,0.000184055,0.000184055
90,3069.83,0.62329,0.42429,1.05134,0.94778,0.89537,0.94237,0.82225,0.63847,0.40585,1.02169,0.000169908,0.000169908,0.000169908
91,3123.72,0.49301,0.34215,0.97937,0.95205,0.88377,0.93667,0.8193,0.59563,0.40288,0.99708,0.000155761,0.000155761,0.000155761
92,3156.4,0.48625,0.32533,0.96869,0.94491,0.89091,0.93877,0.8203,0.58071,0.38392,0.99705,0.000141614,0.000141614,0.000141614
93,3188.75,0.47631,0.32227,0.96603,0.94327,0.88855,0.94095,0.82249,0.57685,0.38388,0.99076,0.000127467,0.000127467,0.000127467
94,3220.93,0.47729,0.32099,0.97272,0.942,0.89216,0.94318,0.82528,0.57647,0.3769,0.98767,0.00011332,0.00011332,0.00011332
95,3254.3,0.47393,0.31982,0.96204,0.92387,0.90695,0.93925,0.82203,0.57291,0.39022,0.98361,9.91726e-05,9.91726e-05,9.91726e-05
96,3287.99,0.47204,0.31361,0.96838,0.95126,0.88985,0.94066,0.82297,0.59764,0.40991,0.99695,8.50255e-05,8.50255e-05,8.50255e-05
97,3322.71,0.46255,0.30791,0.96088,0.95028,0.88791,0.94123,0.82402,0.56875,0.38441,0.98405,7.08784e-05,7.08784e-05,7.08784e-05
98,3355.67,0.46765,0.31256,0.96649,0.95632,0.88159,0.94278,0.82544,0.57803,0.38402,0.98885,5.67313e-05,5.67313e-05,5.67313e-05
99,3387.66,0.45459,0.3028,0.9589,0.94097,0.89632,0.94196,0.8287,0.59079,0.40856,0.99442,4.25842e-05,4.25842e-05,4.25842e-05
100,3419.66,0.45822,0.30156,0.96268,0.9433,0.89392,0.94223,0.82585,0.60445,0.41903,1.00292,2.84371e-05,2.84371e-05,2.84371e-05
